,PostalCode,Borough,Neighbourhood,address
0,M1B,Scarborough,"Rouge,Malvern","M1B, Scarborough, Rouge,Malvern"
1,M1C,Scarborough,"Highland Creek,Rouge Hill,Port Union","M1C, Scarborough, Highland Creek,Rouge Hill,Port Union"
2,M1E,Scarborough,"Guildwood,Morningside,West Hill","M1E, Scarborough, Guildwood,Morningside,West Hill"
3,M1G,Scarborough,Woburn,"M1G, Scarborough, Woburn"
4,M1H,Scarborough,Cedarbrae,"M1H, Scarborough, Cedarbrae"
5,M1J,Scarborough,Scarborough Village,"M1J, Scarborough, Scarborough Village"
6,M1K,Scarborough,"East Birchmount Park,Ionview,Kennedy Park","M1K, Scarborough, East Birchmount Park,Ionview,Kennedy Park"
7,M1L,Scarborough,"Clairlea,Golden Mile,Oakridge","M1L, Scarborough, Clairlea,Golden Mile,Oakridge"
8,M1M,Scarborough,"Cliffcrest,Cliffside,Scarborough Village West","M1M, Scarborough, Cliffcrest,Cliffside,Scarborough Village West"
9,M1N,Scarborough,"Birch Cliff,Cliffside West","M1N, Scarborough, Birch Cliff,Cliffside West"
10,M1P,Scarborough,"Dorset Park,Scarborough Town Centre,Wexford Heights","M1P, Scarborough, Dorset Park,Scarborough Town Centre,Wexford Heights"
11,M1R,Scarborough,"Maryvale,Wexford","M1R, Scarborough, Maryvale,Wexford"
12,M1S,Scarborough,Agincourt,"M1S, Scarborough, Agincourt"
13,M1T,Scarborough,"Clarks Corners,Sullivan,Tam O'Shanter","M1T, Scarborough, Clarks Corners,Sullivan,Tam O'Shanter"
14,M1V,Scarborough,"Agincourt North,L'Amoreaux East,Milliken,Steeles East","M1V, Scarborough, Agincourt North,L'Amoreaux East,Milliken,Steeles East"
15,M1W,Scarborough,L'Amoreaux West,"M1W, Scarborough, L'Amoreaux West"
16,M1X,Scarborough,Upper Rouge,"M1X, Scarborough, Upper Rouge"
17,M2H,NorthYork,Hillcrest Village,"M2H, NorthYork, Hillcrest Village"
18,M2J,NorthYork,"Fairview,Henry Farm,Oriole","M2J, NorthYork, Fairview,Henry Farm,Oriole"
19,M2K,NorthYork,Bayview Village,"M2K, NorthYork, Bayview Village"
20,M2L,NorthYork,"Silver Hills,York Mills","M2L, NorthYork, Silver Hills,York Mills"
21,M2M,NorthYork,"Newtonbrook,Willowdale","M2M, NorthYork, Newtonbrook,Willowdale"
22,M2N,NorthYork,Willowdale South,"M2N, NorthYork, Willowdale South"
23,M2P,NorthYork,York Mills West,"M2P, NorthYork, York Mills West"
24,M2R,NorthYork,Willowdale West,"M2R, NorthYork, Willowdale West"
25,M3A,NorthYork,Parkwoods,"M3A, NorthYork, Parkwoods"
26,M3B,NorthYork,Don Mills North,"M3B, NorthYork, Don Mills North"
27,M3C,NorthYork,"Flemingdon Park,Don Mills South","M3C, NorthYork, Flemingdon Park,Don Mills South"
28,M3H,NorthYork,"Bathurst Manor,Downsview North,Wilson Heights","M3H, NorthYork, Bathurst Manor,Downsview North,Wilson Heights"
29,M3J,NorthYork,"Northwood Park,York University","M3J, NorthYork, Northwood Park,York University"
30,M3K,NorthYork,"CFB Toronto,Downsview East","M3K, NorthYork, CFB Toronto,Downsview East"
31,M3L,NorthYork,Downsview West,"M3L, NorthYork, Downsview West"
32,M3M,NorthYork,Downsview Central,"M3M, NorthYork, Downsview Central"
33,M3N,NorthYork,Downsview Northwest,"M3N, NorthYork, Downsview Northwest"
34,M4A,NorthYork,Victoria Village,"M4A, NorthYork, Victoria Village"
35,M4B,EastYork,"Woodbine Gardens,Parkview Hill","M4B, EastYork, Woodbine Gardens,Parkview Hill"
36,M4C,EastYork,Woodbine Heights,"M4C, EastYork, Woodbine Heights"
37,M4E,EastToronto,The Beaches,"M4E, EastToronto, The Beaches"
38,M4G,EastYork,Leaside,"M4G, EastYork, Leaside"
39,M4H,EastYork,Thorncliffe Park,"M4H, EastYork, Thorncliffe Park"
40,M4J,EastYork,East Toronto,"M4J, EastYork, East Toronto"
41,M4K,EastToronto,"The Danforth West,Riverdale","M4K, EastToronto, The Danforth West,Riverdale"
42,M4L,EastToronto,"The Beaches West,India Bazaar","M4L, EastToronto, The Beaches West,India Bazaar"
43,M4M,EastToronto,Studio District,"M4M, EastToronto, Studio District"
44,M4N,CentralToronto,Lawrence Park,"M4N, CentralToronto, Lawrence Park"
45,M4P,CentralToronto,Davisville North,"M4P, CentralToronto, Davisville North"
46,M4R,CentralToronto,North Toronto West,"M4R, CentralToronto, North Toronto West"
47,M4S,CentralToronto,Davisville,"M4S, CentralToronto, Davisville"
48,M4T,CentralToronto,"Moore Park,Summerhill East","M4T, CentralToronto, Moore Park,Summerhill East"
49,M4V,CentralToronto,"Deer Park,Forest Hill SE,Rathnelly,South Hill,Summerhill West","M4V, CentralToronto, Deer Park,Forest Hill SE,Rathnelly,South Hill,Summerhill West"
50,M4W,DowntownToronto,Rosedale,"M4W, DowntownToronto, Rosedale"
51,M4X,DowntownToronto,"Cabbagetown,St. James Town","M4X, DowntownToronto, Cabbagetown,St. James Town"
52,M4Y,DowntownToronto,Church and Wellesley,"M4Y, DowntownToronto, Church and Wellesley"
53,M5A,DowntownToronto,Harbourfront,"M5A, DowntownToronto, Harbourfront"
54,M5B,DowntownToronto,"Ryerson,Garden District","M5B, DowntownToronto, Ryerson,Garden District"
55,M5C,DowntownToronto,St. James Town,"M5C, DowntownToronto, St. James Town"
56,M5E,DowntownToronto,Berczy Park,"M5E, DowntownToronto, Berczy Park"
57,M5G,DowntownToronto,Central Bay Street,"M5G, DowntownToronto, Central Bay Street"
58,M5H,DowntownToronto,"Adelaide,King,Richmond","M5H, DowntownToronto, Adelaide,King,Richmond"
59,M5J,DowntownToronto,"Harbourfront East,Toronto Islands,Union Station","M5J, DowntownToronto, Harbourfront East,Toronto Islands,Union Station"
60,M5K,DowntownToronto,"Design Exchange,Toronto Dominion Centre","M5K, DowntownToronto, Design Exchange,Toronto Dominion Centre"
61,M5L,DowntownToronto,"Commerce Court,Victoria Hotel","M5L, DowntownToronto, Commerce Court,Victoria Hotel"
62,M5M,NorthYork,"Bedford Park,Lawrence Manor East","M5M, NorthYork, Bedford Park,Lawrence Manor East"
63,M5N,CentralToronto,Roselawn,"M5N, CentralToronto, Roselawn"
64,M5P,CentralToronto,"Forest Hill North,Forest Hill West","M5P, CentralToronto, Forest Hill North,Forest Hill West"
65,M5R,CentralToronto,"The Annex,North Midtown,Yorkville","M5R, CentralToronto, The Annex,North Midtown,Yorkville"
66,M5S,DowntownToronto,"Harbord,University of Toronto","M5S, DowntownToronto, Harbord,University of Toronto"
67,M5T,DowntownToronto,"Chinatown,Grange Park,Kensington Market","M5T, DowntownToronto, Chinatown,Grange Park,Kensington Market"
68,M5V,DowntownToronto,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara","M5V, DowntownToronto, CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara"
69,M5W,DowntownToronto,Stn A PO Boxes 25 The Esplanade,"M5W, DowntownToronto, Stn A PO Boxes 25 The Esplanade"
70,M5X,DowntownToronto,"First Canadian Place,Underground city","M5X, DowntownToronto, First Canadian Place,Underground city"
71,M6A,NorthYork,"Lawrence Heights,Lawrence Manor","M6A, NorthYork, Lawrence Heights,Lawrence Manor"
72,M6B,NorthYork,Glencairn,"M6B, NorthYork, Glencairn"
73,M6C,York,Humewood-Cedarvale,"M6C, York, Humewood-Cedarvale"
74,M6E,York,Caledonia-Fairbanks,"M6E, York, Caledonia-Fairbanks"
75,M6G,DowntownToronto,Christie,"M6G, DowntownToronto, Christie"
76,M6H,WestToronto,"Dovercourt Village,Dufferin","M6H, WestToronto, Dovercourt Village,Dufferin"
77,M6J,WestToronto,"Little Portugal,Trinity","M6J, WestToronto, Little Portugal,Trinity"
78,M6K,WestToronto,"Brockton,Exhibition Place,Parkdale Village","M6K, WestToronto, Brockton,Exhibition Place,Parkdale Village"
79,M6L,NorthYork,"Downsview,North Park,Upwood Park","M6L, NorthYork, Downsview,North Park,Upwood Park"
80,M6M,York,"Del Ray,Keelesdale,Mount Dennis,Silverthorn","M6M, York, Del Ray,Keelesdale,Mount Dennis,Silverthorn"
81,M6N,York,"The Junction North,Runnymede","M6N, York, The Junction North,Runnymede"
82,M6P,WestToronto,"High Park,The Junction South","M6P, WestToronto, High Park,The Junction South"
83,M6R,WestToronto,"Parkdale,Roncesvalles","M6R, WestToronto, Parkdale,Roncesvalles"
84,M6S,WestToronto,"Runnymede,Swansea","M6S, WestToronto, Runnymede,Swansea"
85,M7A,DowntownToronto,Queen's Park,"M7A, DowntownToronto, Queen's Park"
86,M7R,Mississauga,Canada Post Gateway Processing Centre,"M7R, Mississauga, Canada Post Gateway Processing Centre"
87,M7Y,EastToronto,Business Reply Mail Processing Centre 969 Eastern,"M7Y, EastToronto, Business Reply Mail Processing Centre 969 Eastern"
88,M8V,Etobicoke,"Humber Bay Shores,Mimico South,New Toronto","M8V, Etobicoke, Humber Bay Shores,Mimico South,New Toronto"
89,M8W,Etobicoke,"Alderwood,Long Branch","M8W, Etobicoke, Alderwood,Long Branch"
90,M8X,Etobicoke,"The Kingsway,Montgomery Road,Old Mill North","M8X, Etobicoke, The Kingsway,Montgomery Road,Old Mill North"
91,M8Y,Etobicoke,"Humber Bay,King's Mill Park,Kingsway Park South East,Mimico NE,Old Mill South,The Queensway East,Royal York South East,Sunnylea","M8Y, Etobicoke, Humber Bay,King's Mill Park,Kingsway Park South East,Mimico NE,Old Mill South,The Queensway East,Royal York South East,Sunnylea"
92,M8Z,Etobicoke,"Kingsway Park South West,Mimico NW,The Queensway West,Royal York South West,South of Bloor","M8Z, Etobicoke, Kingsway Park South West,Mimico NW,The Queensway West,Royal York South West,South of Bloor"
93,M9A,Etobicoke,Islington Avenue,"M9A, Etobicoke, Islington Avenue"
94,M9B,Etobicoke,"Cloverdale,Islington,Martin Grove,Princess Gardens,West Deane Park","M9B, Etobicoke, Cloverdale,Islington,Martin Grove,Princess Gardens,West Deane Park"
95,M9C,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe","M9C, Etobicoke, Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe"
96,M9L,NorthYork,Humber Summit,"M9L, NorthYork, Humber Summit"
97,M9M,NorthYork,"Emery,Humberlea","M9M, NorthYork, Emery,Humberlea"
98,M9N,York,Weston,"M9N, York, Weston"
99,M9P,Etobicoke,Westmount,"M9P, Etobicoke, Westmount"
100,M9R,Etobicoke,"Kingsview Village,Martin Grove Gardens,Richview Gardens,St. Phillips","M9R, Etobicoke, Kingsview Village,Martin Grove Gardens,Richview Gardens,St. Phillips"
101,M9V,Etobicoke,"Albion Gardens,Beaumond Heights,Humbergate,Jamestown,Mount Olive,Silverstone,South Steeles,Thistletown","M9V, Etobicoke, Albion Gardens,Beaumond Heights,Humbergate,Jamestown,Mount Olive,Silverstone,South Steeles,Thistletown"
102,M9W,Etobicoke,Northwest,"M9W, Etobicoke, Northwest"
